DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
2014-09-25,13.28,13.475,13.05,13.1,15400
2014-09-26,13.2,13.25,13.05,13.1801,13900
2014-09-29,13.11,13.25,13.07,13.18,3800
2014-09-30,13.12,13.24,12.76,12.94,11300
2014-10-01,12.76,12.921,11.61,11.78,44800
2014-10-02,11.81,11.816,11.65,11.73,14500
2014-10-03,11.8,11.8,11.48,11.642,13600
2014-10-06,11.55,11.75,11.48,11.54,8100
2014-10-07,11.5,11.64,11.5,11.53,4900
2014-10-08,11.55,11.7399,11.55,11.642,5900
2014-10-09,11.66,12.4,11.58,11.679,25800
2014-10-10,11.56,11.56,11.11,11.11,20000
2014-10-13,11.15,11.2,10.59,10.62,18300
2014-10-14,10.61,11.05,10.231,10.26,22900
2014-10-15,10.36,10.93,10.1014,10.27,37900
2014-10-16,10.4,11.37,10.4,10.63,40000
2014-10-17,10.85,11.669,10.814,11.17,17200
2014-10-20,11.1,11.37,11.1,11.33,5000
2014-10-21,11.26,11.5,10.88,11.4,17500
2014-10-22,11.52,11.84,11.2701,11.2701,21100
2014-10-23,11.46,11.57,10.988,11.08,14100
2014-10-24,11.03,11.1,10.81,11.1,9400
2014-10-27,11.11,11.55,11.09,11.29,5700
2014-10-28,11.42,11.664,11.21,11.32,15300
2014-10-29,11.31,11.31,10.8201,11.0,13800
2014-10-30,10.98,11.29,10.9001,11.24,6400
2014-10-31,11.21,11.2499,11.01,11.2499,7600
2014-11-03,11.1,11.23,10.38,10.38,21800
2014-11-04,10.55,10.75,10.5,10.53,10200
2014-11-05,11.25,11.4,10.905,11.0,74100
2014-11-06,11.0,11.2,10.564,11.15,13900
2014-11-07,11.15,11.39,10.83,10.83,24800
2014-11-10,10.8,11.55,10.56,11.3,56900
2014-11-11,11.24,11.39,10.9,11.06,17100
2014-11-12,10.8,11.88,10.8,11.53,35900
2014-11-13,11.38,11.71,11.0265,11.31,21100
2014-11-14,11.44,11.95,11.44,11.67,19800
2014-11-17,12.34,13.4,12.34,13.24,104600
2014-11-18,13.4,13.6,12.928,13.46,47500
2014-11-19,13.5,14.48,13.3801,14.38,59000
2014-11-20,14.05,14.68,13.84,14.37,42800
2014-11-21,14.57,14.85,14.33,14.6,27100
2014-11-24,14.68,14.8345,14.1101,14.69,27300
